Cross Semivariogram     tail:Ag           head:Ag            direction  1 
  31       31.000       .03483   101840         .06965        -.01570
  32       32.000       .03728   101505         .07274        -.01675
  33       33.000       .03917   101170         .07587        -.01776
  34       34.000       .04046   100835         .07906        -.01882
  35       35.000       .04113   100500         .08233        -.01976
  36       36.000       .04160   100165         .08556        -.02059
  37       37.000       .04175    99830         .08882        -.02140
  38       38.000       .04182    99495         .09227        -.02205
  39       39.000       .04164    99160         .09578        -.02255
  40       40.000       .04102    98825         .09914        -.02283
  41       41.000       .04013    98490         .10238        -.02295
  42       42.000       .03913    98155         .10558        -.02302
  43       43.000       .03787    97820         .10861        -.02309
  44       44.000       .03597    97485         .11142        -.02312
  45       45.000       .03352    97150         .11412        -.02309
  46       46.000       .03105    96815         .11671        -.02292
  47       47.000       .02864    96480         .11909        -.02264
  48       48.000       .02637    96145         .12119        -.02218
  49       49.000       .02413    95810         .12294        -.02150
  50       50.000       .02188    95475         .12439        -.02063
  51       51.000       .01967    95140         .12565        -.01972
  52       52.000       .01815    94805         .12668        -.01863
  53       53.000       .01722    94470         .12735        -.01744
  54       54.000       .01693    94135         .12782        -.01607
  55       55.000       .01684    93800         .12818        -.01454
  56       56.000       .01699    93465         .12840        -.01308
  57       57.000       .01742    93130         .12846        -.01177
  58       58.000       .01802    92795         .12840        -.01041
  59       59.000       .01880    92460         .12821        -.00913
  60       60.000       .01948    92125         .12790        -.00786
  61       61.000       .02039    91790         .12752        -.00671
  62       62.000       .02155    91455         .12706        -.00570
  63       63.000       .02260    91120         .12651        -.00467
  64       64.000       .02365    90785         .12574        -.00354
  65       65.000       .02495    90450         .12485        -.00231
  66       66.000       .02598    90115         .12378        -.00086
  67       67.000       .02706    89780         .12262         .00072
  68       68.000       .02799    89445         .12152         .00223
  69       69.000       .02896    89110         .12037         .00386
  70       70.000       .02980    88775         .11923         .00562
  71       71.000       .03097    88440         .11809         .00743
  72       72.000       .03262    88105         .11681         .00920
  73       73.000       .03428    87770         .11538         .01100
  74       74.000       .03607    87435         .11380         .01289
  75       75.000       .03809    87100         .11216         .01472
  76       76.000       .04051    86765         .11054         .01654
  77       77.000       .04339    86430         .10891         .01821
  78       78.000       .04604    86095         .10734         .01989
  79       79.000       .04863    85760         .10590         .02140
  80       80.000       .05097    85425         .10464         .02271
  81       81.000       .05322    85090         .10338         .02398
  82       82.000       .05559    84755         .10211         .02514
  83       83.000       .05793    84420         .10098         .02611
  84       84.000       .06007    84085         .10003         .02691
  85       85.000       .06214    83750         .09919         .02751
  86       86.000       .06422    83415         .09857         .02797
  87       87.000       .06581    83080         .09807         .02847
  88       88.000       .06722    82745         .09762         .02909
  89       89.000       .06884    82410         .09752         .02984
  90       90.000       .07043    82075         .09769         .03088
  91       91.000       .07203    81740         .09807         .03210
  92       92.000       .07339    81405         .09860         .03345
